Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Sunghyun,Kim Sunghyun,김성현,IN2IT,South Korea,male_idols/Sunghyun_KimSunghyun.png
Moonvok,Jang Moonvok,장문복,Limitless,South Korea,male_idols/Moonvok_JangMoonvok.png
Hwichan,Lee Heechan,이휘찬,Limitless,South Korea,male_idols/Hwichan_LeeHeechan.jpeg
A.M,Seong Hyunwoo,성현우,Limitless,South Korea,male_idols/A.M_SeongHyunwoo.png
Heeseok,Yun Heeseok,윤희석 ,Limitless,South Korea,male_idols/Heeseok_YunHeeseok.png
Eson,Kim Jungmin,김정민,We In The Zone,South Korea,male_idols/Eson_KimJungmin.jpeg
Jooan,Im Jimyoung,임지명,We In The Zone,South Korea,male_idols/Jooan_ImJimyoung.jpeg
Kyeongheon,Yoon Kyeongheon,윤경헌,We In The Zone,South Korea,male_idols/Kyeongheon_YoonKyeongheon.jpeg
Min,Lee Mincheon,이민천,We In The Zone,South Korea,male_idols/Min_LeeMincheon.jpeg
Shihyun,Kim Shihyun,김시현,We In The Zone,South Korea,male_idols/Shihyun_KimShihyun.webp
Yixuan,Zhou Yixuan,조이쉔,UNIQ,China,male_idols/Yixuan_ZhouYixuan.webp
Sungjoo,Kim Sungjoo,김성주,UNIQ,South Korea,male_idols/Sungjoo_KimSungjoo.png
Wenhan,Li Wenhan,리원한,UNIQ,China,male_idols/Wenhan_LiWenhan.jpeg
Seungyoon,Cho Seungyoon,조승연,UNIQ,South Korea,male_idols/Seungyoon_ChoSeungyoon.jpeg
Yibo,Wang Yibo,왕이보,UNIQ,China,male_idols/Yibo_WangYibo.jpeg
Yohan,Kim Yohan,김요한,WEi,South Korea,male_idols/Yohan_KimYohan.webp
Junho,Cha Junho,차준호,DRIPPIN,South Korea,male_idols/Junho_ChaJunho.jpeg
Dongpyo,Son Dongpyo,손동표,Mirae,South Korea,male_idols/Dongpyo_SonDongpyo.jpeg
Minhee,Kang Minhee,강민희,CRAVITY,South Korea,male_idols/Minhee_KangMinhee.jpeg
Eunsang,Lee Eunsang,이은상,YOUNITE,South Korea,male_idols/Eunsang_LeeEunsang.jpeg
Hyeongjun,Song Hyeongjun,송형준,CRAVITY,South Korea,male_idols/Hyeongjun_SongHyeongjun.jpeg
Dohyon,Nam Dohyon,남도현,BAE173,South Korea,male_idols/Dohyon_NamDohyon.png
Wondae,Seol Wondae,설원대,Dongkiz,South Korea,male_idols/Wondae_SeolWondae.png
Kyungyoon,Lee Kyungyoon,이경윤,Dongkiz,South Korea,male_idols/Kyungyoon_LeeKyungyoon.png
Munik,Jang Moonik,장문익,Dongkiz,South Korea,male_idols/Munik_JangMoonik.webp
Jaechan,Park Jaechan,박재찬,Dongkiz,South Korea,male_idols/Jaechan_ParkJaechan.png
Jonghyeong,Kim Jonghyeong,김종형,Dongkiz,South Korea,male_idols/Jonghyeong_KimJonghyeong.png
Yonggeun,Jo Yonggeun,조용근 ,D1CE,South Korea,male_idols/Yonggeun_JoYonggeun.jpeg
Hyunsoo,Kim Hyunsoo,김현수,D1CE,South Korea,male_idols/Hyunsoo_KimHyunsoo.png
Yoojun,Jun Yoojun,정유준 ,D1CE,South Korea,male_idols/Yoojun_JunYoojun.jpeg
Woodam,Park Woodam,박우담,D1CE,South Korea,male_idols/Woodam_ParkWoodam.png
Jinyoung,Woo Jinyoung,우진영,D1CE,South Korea,male_idols/Jinyoung_WooJinyoung.jpeg
Taedong,Kim Taedong,김태동,OMEGA X,South Korea,male_idols/Taedong_KimTaedong.webp
