Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Jamie,Park Jimin,박지민,15&,South Korea,female_idols/Jamie_ParkJimin.png
Yerin,Baek Yerin,백예린,15&,South Korea,female_idols/Yerin_BaekYerin.png
Jihyo,Park Jisoo,박지수,Twice,South Korea,female_idols/Jihyo_ParkJisoo.jpeg
Nayeon,Im Nayeon,임나연,Twice,South Korea,female_idols/Nayeon_ImNayeon.jpeg
Jeongyeon,Yoo Jeongyeon,유정연,Twice,South Korea,female_idols/Jeongyeon_YooJeongyeon.png
Momo,Hirai Momo,히라이 모모,Twice,Japan,female_idols/Momo_HiraiMomo.png
Sana,Minatozaki Sana,미나토자키 사나,Twice,Japan,female_idols/Sana_MinatozakiSana.jpeg
Mina,Myoui Mina,묘이 미나,Twice,Japan,female_idols/Mina_MyouiMina.jpeg
Dahyun,Kim Dahyun,김다현,Twice,South Korea,female_idols/Dahyun_KimDahyun.jpeg
Chaeyoung,Son Chaeyoung,손채영,Twice,South Korea,female_idols/Chaeyoung_SonChaeyoung.jpeg
Tzuyu,Chou Tzuyu,저우쯔위,Twice,Taiwan,female_idols/Tzuyu_ChouTzuyu.jpeg
Seunghee,Oh Seunghee,오승희,CLC,South Korea,female_idols/Seunghee_OhSeunghee.jpeg
Yujin,Choi Yujin,최유진,Kep1er,South Korea,female_idols/Yujin_ChoiYujin.jpeg
Seungyeon,Jang Seunyeon,장승연 ,CLC,South Korea,female_idols/Seungyeon_JangSeunyeon.png
Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,CLC,Thailand,female_idols/Sorn_ChonnasornSajakul.jpeg
YeeEun,Jang Yeeun,장예은 ,CLC,South Korea,female_idols/YeeEun_JangYeeun.png
Hyuna,Moon Hyuna,문현아 ,,South Korea,female_idols/Hyuna_MoonHyuna.jpeg
Euaerin,Lee Hyemin,이혜민,,South Korea,female_idols/Euaerin_LeeHyemin.png
Sungah,Son Sungah,손성아,9Muses,South Korea,female_idols/Sungah_SonSungah.png
Kyungri,Park Kyungri,박경리,9Muses,South Korea,female_idols/Kyungri_ParkKyungri.jpeg
Hyemi,Pyo Hyemi,표혜미,9Muses,South Korea,female_idols/Hyemi_PyoHyemi.png
