Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Jangjun,Lee Jangjun,이장준,Golden Child,South Korea,male_idolsV2/Jangjun_LeeJangjun.jpeg
TAG,Son Youngtaek,손영택,Golden Child,South Korea,male_idolsV2/TAG_SonYoungtaek.png
Seungmin,Bae Seungmin,배승민,Golden Child,South Korea,male_idolsV2/Seungmin_BaeSeungmin.jpeg
Jaehyun,Bong Jaehyun,봉재현,Golden Child,South Korea,male_idolsV2/Jaehyun_BongJaehyun.jpeg
Jibeom,Kim Jibeom,김지범,Golden Child,South Korea,male_idolsV2/Jibeom_KimJibeom.jpeg
Donghyun,Kim Donghyun,김동현,Golden Child,South Korea,male_idolsV2/Donghyun_KimDonghyun.jpeg
Joochan,Hong Joochan,홍주찬,Golden Child,South Korea,male_idolsV2/Joochan_HongJoochan.jpeg
Bomin,Choi Bomin,최보민,Golden Child,South Korea,male_idolsV2/Bomin_ChoiBomin.png
Jinhoo,Kim Jinwook,김진욱,,South Korea,male_idolsV2/Jinhoo_KimJinwook.png
Kuhn,Noh Sooil,노수일,UP10TION,South Korea,male_idolsV2/Kuhn_NohSooil.png
Kongyeol,Go Minsoo,고민수,UP10TION,South Korea,male_idolsV2/Kongyeol_GoMinsoo.png
Wei,Lee Jinhyuk,이진혁,,South Korea,male_idolsV2/Wei_LeeJinhyuk.jpeg
Bitto,Lee Changhyun,이창현,UP10TION,South Korea,male_idolsV2/Bitto_LeeChanghyun.jpeg
Wooshin,Kim Wooseok,김우석,,South Korea,male_idolsV2/Wooshin_KimWooseok.jpeg
Sunyoul,Seon Yein,선예인,UP10TION,South Korea,male_idolsV2/Sunyoul_SeonYein.png
Gyujin,Han Gyujin,한규진,UP10TION,South Korea,male_idolsV2/Gyujin_HanGyujin.webp
Hwanhee,Lee Hwanhee,이환희,UP10TION,South Korea,male_idolsV2/Hwanhee_LeeHwanhee.jpeg
Xiao,Lee Dongyeol,이동열,UP10TION,South Korea,male_idolsV2/Xiao_LeeDongyeol.jpeg
Kid,Kim Junhoe,김준회,VARSITY,South Korea,male_idolsV2/Kid_KimJunhoe.jpeg
Bullet,Jin Junwoo,진준우,VARSITY,South Korea,male_idolsV2/Bullet_JinJunwoo.webp
Damon,Hu Boohan,후보한,VARSITY,China,male_idolsV2/Damon_HuBoohan.webp
Xiweol,Kang Minseok,강민석,VARSITY,South Korea,male_idolsV2/Xiweol_KangMinseok.webp
Xin,Wang Xinwi,왕씬위,VARSITY,China,male_idolsV2/Xin_WangXinwi.jpeg
Jaebin,Deung Bin,등빈,VARSITY,China,male_idolsV2/Jaebin_DeungBin.webp
Dann,Jung Seungbo,정승보,Kingdom,South Korea,male_idolsV2/Dann_JungSeungbo.png
Riho,Jin Seungwook,진승욱,VARSITY,South Korea,male_idolsV2/Riho_JinSeungwook.jpeg
Anthony,Anthony Lo,엔써니 루오,VARSITY,China,male_idolsV2/Anthony_AnthonyLo.webp
Arthur,Jang Yunho,장윤호,Kingdom,South Korea,male_idolsV2/Arthur_JangYunho.png
Dawon,Cho Dawon,조다원,VARSITY,South Korea,male_idolsV2/Dawon_ChoDawon.png
Manny,Syo Dongchun,쇼동청,VARSITY,China,male_idolsV2/Manny_SyoDongchun.webp
Hamin,Kim Kangmin,김강민,BXB,South Korea,male_idolsV2/Hamin_KimKangmin.jpeg
Hohyeon,Lee Hohyeon,이호현,TRCNG,South Korea,male_idolsV2/Hohyeon_LeeHohyeon.webp
Siwoo,Yoo Siwoo,유시우,BXB,South Korea,male_idolsV2/Siwoo_YooSiwoo.png
Hyunwoo,Kim Hyunwoo,김현우,BXB,South Korea,male_idolsV2/Hyunwoo_KimHyunwoo.jpeg
Jisung,Kim Jisung,김지성,TRCNG,South Korea,male_idolsV2/Jisung_KimJisung.png
Wooyeop,Jo Wooyeop,조우엽,TRCNG,South Korea,male_idolsV2/Wooyeop_JoWooyeop.jpeg
Hakmin,Lee Hakmin,이학민,TRCNG,South Korea,male_idolsV2/Hakmin_LeeHakmin.webp
Taeseon,Yang Taeseon,양태선,TRCNG,South Korea,male_idolsV2/Taeseon_YangTaeseon.jpeg
Hayoung,Choi Hayoung,최하영,TRCNG,South Korea,male_idolsV2/Hayoung_ChoiHayoung.png
Jihun,Kim Jihun,김지훈,BXB,South Korea,male_idolsV2/Jihun_KimJihun.png
Hojoon,Jeon Hojoon,전호준,Topp Dogg,South Korea,male_idolsV2/Hojoon_JeonHojoon.png
Sangdo,Yoo Sangdo,유상도,Topp Dogg,South Korea,male_idolsV2/Sangdo_YooSangdo.png
B-Joo,Kim Byungjoo,김병주,Topp Dogg,South Korea,male_idolsV2/B-Joo_KimByungjoo.png
Xero,Shin Jiho,신지호,Topp Dogg,South Korea,male_idolsV2/Xero_ShinJiho.jpeg
Kim Sanggyun,Kim Sanggyun,김상균,JBJ95,South Korea,male_idolsV2/KimSanggyun_KimSanggyun.jpeg
Yano,Seo Sangwon,서상원,Topp Dogg,South Korea,male_idolsV2/Yano_SeoSangwon.jpeg
Kidoh,Jin Hyosang,진효상,,South Korea,male_idolsV2/Kidoh_JinHyosang.jpeg
Seogoong,Park Hyunho,박현호,,South Korea,male_idolsV2/Seogoong_ParkHyunho.jpeg
Gohn,Kim Dongsung,김동성,,South Korea,male_idolsV2/Gohn_KimDongsung.jpeg
Jenissi,Kim Taeyang,김태양,,South Korea,male_idolsV2/Jenissi_KimTaeyang.jpeg
P-Goon,Park Sehyuk,박세혁,,South Korea,male_idolsV2/P-Goon_ParkSehyuk.jpeg
Nakta,Shin Yooncheol,신윤철,,South Korea,male_idolsV2/Nakta_ShinYooncheol.jpeg
Hansol,Kim Hansol,김한솔,,South Korea,male_idolsV2/Hansol_KimHansol.png
Kenta,Takada Kenta,타카다 켄타,JBJ,Japan,male_idolsV2/Kenta_TakadaKenta.png
Longguo,Jin Longguo,진룽궈,JBJ,China,male_idolsV2/Longguo_JinLongguo.webp
Hyunbin,Kwon Hyunbin,권현빈,JBJ,South Korea,male_idolsV2/Hyunbin_KwonHyunbin.jpeg
Donghan,Kim Donghan,김동한,WEi,South Korea,male_idolsV2/Donghan_KimDonghan.jpeg
Seonglee,Kim Seonglee,김성리,,South Korea,male_idolsV2/Seonglee_KimSeonglee.png
Wontak,Ju Wontak,주원탁,,South Korea,male_idolsV2/Wontak_JuWontak.webp
Kiwon,Lee Kiwon,이기원,GIDONGDAE,South Korea,male_idolsV2/Kiwon_LeeKiwon.webp
Daehyeon,Jang Daehyeon,장대현,WEi,South Korea,male_idolsV2/Daehyeon_JangDaehyeon.jpeg
Eunki,Hong Eunki,홍은기,,South Korea,male_idolsV2/Eunki_HongEunki.png
Hyunmin,Byun Hyunmin,변현민,,South Korea,male_idolsV2/Hyunmin_ByunHyunmin.png
Sunghyuk,Seo Sunghyuk,서성혁,,South Korea,male_idolsV2/Sunghyuk_SeoSunghyuk.webp
Youngmin,Lim Youngmin,임영민,,South Korea,male_idolsV2/Youngmin_LimYoungmin.jpeg
Donghyun,Kim Donghyun,김동현,AB6IX,South Korea,male_idolsV2/Donghyun_KimDonghyun.jpeg
Suhyun,Choi Hyunggeun,최형근 ,SNUPER,South Korea,male_idolsV2/Suhyun_ChoiHyunggeun.png
Sangil,Shim Sangil,심상일,SNUPER,South Korea,male_idolsV2/Sangil_ShimSangil.jpeg
Taewoong,Yoo Taewoong,유태웅,SNUPER,South Korea,male_idolsV2/Taewoong_YooTaewoong.jpeg
Woosung,Choi Sunghyuk,최성혁,SNUPER,South Korea,male_idolsV2/Woosung_ChoiSunghyuk.png
Sangho,Jo Sangho,조상호,SNUPER,South Korea,male_idolsV2/Sangho_JoSangho.png
Sebin,Jang Sebin,장세빈,SNUPER,South Korea,male_idolsV2/Sebin_JangSebin.png
Seokcheol,Lee Seokchul,이석철,TheEastLight,South Korea,male_idolsV2/Seokcheol_LeeSeokchul.jpeg
Eunsung,Lee Eunsung,이은성 ,TheEastLight,South Korea,male_idolsV2/Eunsung_LeeEunsung.jpeg
Seunghyun,Lee Seunghyun,이승현,TheEastLight,South Korea,male_idolsV2/Seunghyun_LeeSeunghyun.png
Junwook,Kim Junwook,김준욱,TheEastLight,South Korea,male_idolsV2/Junwook_KimJunwook.png
Sakang,Jeon Sakang,정사강,TheEastLight,South Korea,male_idolsV2/Sakang_JeonSakang.png
Woojin,Lee Woojin,이우진,TheEastLight,South Korea,male_idolsV2/Woojin_LeeWoojin.webp
Bin,Kwon Soobin,김수빈,Hot Blood Youth,South Korea,male_idolsV2/Bin_KwonSoobin.jpeg
Marco,Lee Hyunggeun,이형근,Hot Blood Youth,South Korea,male_idolsV2/Marco_LeeHyunggeun.jpeg
Taro,Choi Wonjin,최원진,Hot Blood Youth,South Korea,male_idolsV2/Taro_ChoiWonjin.jpeg
