Stage_Name, Full_Name, Korean_Name, Group, Country
Dasom,Lee Dasom,이다솜,2EYES,South Korea
Hyerin,Kim Hyerin,김혜린,2EYES,South Korea
IU,Lee Jieun,이지은,,South Korea
Jei,Kim Jinhee,김진희,Fiestar,South Korea
Cao Lu,Cao Lu,차오루,Fiestar,China
Linzy,Im Minji,임민지,Fiestar,South Korea
Hyemi,Kim Hyemi,김혜미,Fiestar,South Korea
Yezi,Lee Yeji,이예지,Fiestar,South Korea
Hana,Shin Bora,신보라,Gugudan,South Korea
Mimi,Jung Mimi,정미미,Gugudan,South Korea
Haebin,Han Haebin,한해빈,Gugudan,South Korea
Nayoung,Kim Nayoung,김나영,Gugudan,South Korea
Sejeong,Kim Sejeong,김세정,Gugudan,South Korea
Sally,Liu Xiening,류셰닝,Gugudan,China
Soyee,Jang Sojin,장소진,Gugudan,South Korea
Mina,Kang Mina,강미나,Gugudan,South Korea
Hyeyeon,Cho Hyeyeon,조혜연,,South Korea
Hyojung,Choi Hyojung,최효정,Oh My Girl,South Korea
JinE,Shin Hyejin,신혜진,,South Korea
Mimi,Kim Mihyun,김미현,Oh My Girl,South Korea
Yooa,Yoo Siah,유시아,Oh My Girl,South Korea
Seunghee,Hyun Seunghee,현승희,Oh My Girl,South Korea
Jiho,Kim Jiho,김지호,,South Korea
Yubin,Bae Yubin,배유빈,Oh My Girl,South Korea
Arin,Choi Yewon,최예원,Oh My Girl,South Korea
Babysoul,Lee Soojung,이수정,Lovelyz,South Korea
Jiae,Yoo Jiae,유지애,Lovelyz,South Korea
Jisoo,Seo Jisoo,서지수,Lovelyz,South Korea
Mijoo,Lee Mijoo,이미주,Lovelyz,South Korea
Kei,Kim Jiyeon,김지연,Lovelyz,South Korea
JIN,Park Myungeun,박명은,Lovelyz,South Korea
Sujeong,Ryu Sujeong,류수정,Lovelyz,South Korea
Yein,Jeong Yein,정예인,Lovelyz,South Korea
Yujeong,Kim Yujeong,김유정,,South Korea
Soyeon,Jung Soyeon,정소연,LABOUM,South Korea
ZN,Bae Jinye,배진예,LABOUM,South Korea
Haein,Yeom Haein,염해인,LABOUM,South Korea
Solbin,Ahn Solbin,안솔빈,LABOUM,South Korea
Yulhee,Kim Yulhee,김율희,,South Korea
Boram,Jeon Boram,전보람,,South Korea
Qri,Lee Jihyun,이지현,T-ara,South Korea
Soyeon,Park Soyeon,박소연,,South Korea
Eunjung,Ham Eunjung,함은정,T-ara,South Korea
Hyomin,Park Sunyoung,박선영,T-ara,South Korea
Jiyeon,Park Jiyeon,박지연,T-ara,South Korea
Solar,Kim Yongsun,김용선,Mamamoo,South Korea
Moonbyul,Moon Byulyi,문별이,Mamamoo,South Korea
Wheein,Jung Wheein,정휘인,Mamamoo,South Korea
Hwasa,Ahn Hyejin,안혜진,Mamamoo,South Korea
Yeoeun,Jung Jieun,정지은,MELODYDAY,South Korea
Yein,Ahn Yein,안예인,MELODYDAY,South Korea
Chahee,Park Sooyoung,박수영,MELODYDAY,South Korea
Yoomin,Na Yoomin,나유민,MELODYDAY,South Korea
Elkie,Chong Ting Yan,쫑딩얀,,Hong Kong
Eunbin,Kwon Eunbin,권은빈,CLC,South Korea
Jisoo,Kim Jisoo,김지수,BLACKPINK,South Korea
Jennie,Kim Jennie,김제니,BLACKPINK,South Korea
Rosé,Roseanne Park,로잔느 박,BLACKPINK,South Korea
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,BLACKPINK,Thailand
Hyeji,Jeong Hyeji,정혜지,4TEN,South Korea
Heeo,Gwak Heeoh,곽히오,4TEN,South Korea
Yoon,Heo Yoon,허윤,4TEN,South Korea
Hyejin,Baek Hyejin,백혜진 ,4TEN,South Korea
Uee,Kim Yujin,김유진,,South Korea
Raina,Oh Hyerin,오혜린,After School,South Korea
Nana,Im Jinah,임진아,After School,South Korea
Lizzy,Park Sooyoung,박수영,After School,South Korea
E-Young,Noh Yiyoung,노이영,After School,South Korea
Kaeun,Lee Kaeun,이가은,After School,South Korea
Kahi,Park Jiyoung,박지영,,South Korea
Jooyeon,Lee Jooyeon,이주연,,South Korea
Jungah,Kim Jungah,김정아,,South Korea
Soyoung,Yoo Soyoung,유소영,,South Korea
Bekah,Rebecca Kim,김레베카,,South Korea
Chaewon,Kim Chaewon,김채원,APRIL,South Korea
Naeun,Lee Naeun,이나은,APRIL,South Korea
Yena,Yang Yena,양예나,APRIL,South Korea
Jinsol,Lee Jinsol,이진솔,APRIL,South Korea
Hyunjoo,Lee Hyunjoo,이현주,UNI.T,South Korea
Monika,Kang Yeh,강예,BADKIZ,South Korea
LuA,Jo Hankyeung,조한경,BADKIZ,South Korea
K.Me,Na Miri,나미리,BADKIZ,South Korea
Somin,Jang Somin,장소민,BADKIZ,South Korea
U-Si,Yoo Jiyeon,윤지연,BADKIZ,South Korea
Gabin,Kim Gabin,김가빈,Blady,South Korea
Dayoung,Kim Dayoung,김다영,Blady,South Korea
Giru,Park Giru,박기루,Blady,South Korea
Tina,Christine Joy Park,크리스틴 조이 박,Blady,USA
Yeeun,Hwang Yeeun,황예은,Blady,South Korea
Minyoung,Kim Minyeong,김민영,Brave Girls,South Korea
Yujeong,Nam Yujeong,남유정,Brave Girls,South Korea
Eunji,Hong Eunji,홍은지,Brave Girls,South Korea
Yoojin,Jang Yoojin,정유진,,South Korea
Yuna,Lee Yuna,이유나,Brave Girls,South Korea
Hyeran,Noh Hyeran,노혜란,,South Korea
Hayun,Lee Hayun,이하윤,,South Korea
Bona,Kim Jiyeon,김지연,WJSN,South Korea
Cheng Xiao,Cheng Xiao,청샤오,,China
Dayoung,Im Dayoung,임다영,WJSN,South Korea
Xuanyi,Wu Xuanyi,우쉬안이,,China
Eunseo,Son Juyeon,손주연,WJSN,South Korea
Yeoreum,Lee Jinsook,이진숙,WJSN,South Korea
Seola,Kim Hyunjung,김현정,WJSN,South Korea
Exy,Chu Sojung,추소정,WJSN,South Korea
Soobin,Park Soobin,박수빈,WJSN,South Korea
Luda,Lee Luda,이루다,WJSN,South Korea
Dawon,Nam Dawon,남다원,WJSN,South Korea
Meiqi,Meng Meiqi,멍메이치,,China
Yeonjung,Yu Yeonjung,유연정,WJSN,South Korea
Geummi,Baek Boram,백보람,Crayon Pop,South Korea
Ellin,Kim Minyoung,김민영,Crayon Pop,South Korea
Choa,Heo Minjin,허민진,Crayon Pop,South Korea
Way,Heo Minsun,허민선,Crayon Pop,South Korea
Soyul,Park Hyekyeong,박혜경,Crayon Pop,South Korea
Hanna,Shin Jiyeon,신지연,MIXX,South Korea
Henny,Kang Gayoung,강가영,,South Korea
Arie,Jeon Minjae,전민재,MIXX,South Korea
Liyah,Moon Liya,문리야,MIXX,South Korea
Jiu,Kim Minji,김민지,Dreamcatcher,South Korea
Sua,Kim Bora,김보라,Dreamcatcher,South Korea
Siyeon,Lee Siyeon,이시연,Dreamcatcher,South Korea
Yoohyeon,Kim Yoohyeon,김유현,Dreamcatcher,South Korea
Dami,Lee Yoobin,이유빈,Dreamcatcher,South Korea
Hyebin,Lee Hyebin,이혜빈,MOMOLAND,South Korea
Yeonwoo,Lee Dabin,이다빈,,South Korea
Jane,Sung Jiyeon,성지연,MOMOLAND,South Korea
Nayun,Kim Nayun,김나윤,MOMOLAND,South Korea
Joo E,Lee Joowon,이주원,MOMOLAND,South Korea
AhIn,Lee Ahin,이아인,MOMOLAND,South Korea
Nancy,Nancy Mcdonie,낸시 맥다니,MOMOLAND,South Korea
Sumin,Ji Sumin,지수민,Sonamoo,South Korea
Minjae,Seong Minjae,성민재,Sonamoo,South Korea
D.ana,Cho Eunae,조은애,Sonamoo,South Korea
Nahyun,Kim Nahyun,김나현,Sonamoo,South Korea
Euijin,Hong Euijin,홍의진,Sonamoo,South Korea
High.D,Kim Dohee,김도희,Sonamoo,South Korea
New Sun,Choi Yoonsun,최윤선,Sonamoo,South Korea
Somin,Jeon Somin,전소민,KARD,South Korea
Jiwoo,Jeon Jiwoo,전지우,KARD,South Korea
Youngji,Hur Youngji,허영지,KARA,South Korea
Gyuri,Park Gyuri,박규리,KARA,South Korea
Seungyeon,Han Seungyeon,한승연,KARA,South Korea
Hara†,Koo Hara,구하라,KARA,South Korea
Nicole,Nicole Jung,정니콜,KARA,South Korea
Jiyoung,Kang Jiyoung,강지영,KARA,South Korea
Moonhee,Choi Moonhee,최문희,Bonus Baby,South Korea
Hayoon,Jung Hayoon,정하윤,Bonus Baby,South Korea
Chaehyun,Kim Chaehyun,김채현,Bonus Baby,South Korea
Dayun,Kim Dayun,김다윤,Bonus Baby,South Korea
Gaon,Beom Gaon,범가온,Bonus Baby,South Korea
Kongyoo,Kong Yoojin,공유진,Bonus Baby,South Korea
Chaekyung,Yoon Chaekyung,윤채경,APRIL,South Korea
Rachel,Sung Nayeon,성나연,APRIL,South Korea
Sohee,Kim Sohee,소희,Nature,South Korea
Lee Haein,Lee Haein,이해인,I.B.I,South Korea
Lee Suhyun,Lee Suhyun,이수현,I.B.I,South Korea
Han Hyeri,Han Hyeri,한혜리,I.B.I,South Korea
Hyosung,Jun Hyoseong,전효성,SECRET,South Korea
Hana,Jung Hana,정하나,SECRET,South Korea
Jieun,Song Jieun,송지은,SECRET,South Korea
Sunhwa,Han Sunhwa,한선화,,South Korea
Heeyu,Choi Heejae,최희재,MIXX,South Korea
Mia,Son Hyunmi,손현미,MIXX,South Korea
Heejin,Jeon Heejin,전희진,ARTMS,South Korea
Hyunjin,Kim Hyunjin,김현진,Loossemble,South Korea
Haseul,Jo Haseul,조하슬,ARTMS,South Korea
Yeojin,Im Yeojin,임여진,Loossemble,South Korea
Handong,Han Dong,한동,Dreamcatcher,China
Gahyeon,Lee Gahyeon,이가현,Dreamcatcher,South Korea
Nayoung,Im Nayoung,임나영,Pristin,South Korea
Roa,Kim Minkyung,김민경,Hinapia,South Korea
Yuha,Kang Kyungwon,강경원,Hinapia,South Korea
Eunwoo,Jeong Eunwoo,정은우,Hinapia,South Korea
Rena,Kang Yebin,강예빈,Hinapia,South Korea
Kyulkyung,Zhou Jieqiong,저우제충,Pristin,China
Yehana,Kim Yewon,김예원,Pristin,South Korea
Sungyeon,Bae Sungyeon,배성연,Pristin,USA
Xiyeon,Park Junghyun,박정현,Pristin,South Korea
Kyla,Kyla Massie,카일라 매시,Pristin,USA
Alice,Song Joohee,송주희,Hello Venus,South Korea
Nara,Kwon Nara,권나라,Hello Venus,South Korea
Lime,Kim Hyerim,김혜림,Hello Venus,South Korea
Seoyoung,Lee Seoyoung,이서영,Hello Venus,South Korea
Yooyoung,Lee Yooyoung,이유영,Hello Venus,South Korea
Yeoreum,Ahn Chaeyeon,안채연,Hello Venus,South Korea
Eunice,Heo Sooyeon,허수연,DIA,South Korea
Huihyeon,Ki Huihyeon,기희현,DIA,South Korea
Jenny,Lee Soyul,이소율,,South Korea
Yebin,Baek Yebin,백예빈,DIA,South Korea
Eunjin,Ahn Eunjin,안은진,,South Korea
Chaeyeon,Jung Chaeyeon,정채연,DIA,South Korea
Eunchae,Kwon Chaewon,권채원,DIA,South Korea
Chungha,Kim Chungha,김청하,,South Korea
Sohye,Kim Sohye,김소혜,,South Korea
Yoojung,Choi Yoojung,최유정,Weki Meki,South Korea
Doyeon,Kim Doyeon,김도연,Weki Meki,South Korea
Somi,Jeon Somi,전소미,,South Korea
I,Cha Yoonji,차윤지,,South Korea
Johyun,Shin Jiwon,신지원,Berry Good,South Korea
Serri,Park Miyeon,박미연,Dal Shabet,South Korea
Ahyoung,Cho Jayoung,조자영,Dal Shabet,South Korea
Woohee,Bae Woohee,배우희,Dal Shabet,South Korea
Subin,Park Subin,박수빈,Dal Shabet,South Korea
Jiyul,Yang Jungyoon,양정윤,,South Korea
Gaeun,Cho Kaeun,조가은,,South Korea
Viki,Kang Eunhye,강은혜,,South Korea
Haeri,Lee Haeri,이해리,Davichi,South Korea
Minkyung,Kang Minkyung,강민경,Davichi,South Korea
Sulli†,Choi Jinri,최진리,,South Korea
Ashley,Ashley Choi,애슐리 최,Ladies' Code,South Korea
Sojung,Lee Sojung,이소정,Ladies' Code,South Korea
Zuny,Kim Joomi,김주미,Ladies' Code,South Korea
Yunji,Lee Yunji,이윤지,Playback,South Korea
Hayoung,Lee Hayoung,이하영,Playback,South Korea
Yujin,Seo Yoojin,소유진,Playback,South Korea
Woolim,Hwang Woolim,황우림,Playback,South Korea
Red,Lee Heejin,이희진,Pungdeng-E,South Korea
Yellow,Kim Eunbi,김은비,Pungdeng-E,South Korea
Blue,Jung Gahee,정가희,Pungdeng-E,South Korea
Jaekyung,Kim Jaekyung,김재경,Rainbow,South Korea
Woori,Go Woori,고우리,Rainbow,South Korea
Seungah,Oh Seungah,오승아,Rainbow,South Korea
Noeul,No Eul,노을,Rainbow,South Korea
Yoonhye,Jung Yoonhye,정윤혜,Rainbow,South Korea
Jisook,Kim Jisook,김지숙,Rainbow,South Korea
Hyunyoung,Cho Hyunyoung,조현영,Rainbow,South Korea
Vivi,Wong Viian,황가희,Loossemble,Hong Kong
Minjae,Shin Minjae,신민재,Tahiti,South Korea
Miso,Park Miso,박미소,Tahiti,South Korea
Jerrry,Ahn Sohyun,안소현,Tahiti,South Korea
Jisoo,Shin Jisoo,신지수,Tahiti,South Korea
Ari,Kim Sunyoung,김선영,Tahiti,South Korea
Sihyun,Park Sihyun,박시현,SPICA,South Korea
Boa,Kim Boah,김보아,KEEMBO,South Korea
Narae,Park Narae,박나래,SPICA,South Korea
Jiwon,Yang Jiwon,양지원,UNI.T,South Korea
Bohyung,Kim Bohyung,김보형,KEEMBO,South Korea
Gayoung,Kim Gayoung,김가영,Stellar,South Korea
Minhee,Joo Minhee,주민희,Stellar,South Korea
Hyeoeun,Lee Hyoeun,이효은,Stellar,South Korea
Jeonyul,Jeon Yuri,전유리,Stellar,South Korea
Jiyou,Im Changsook,임창숙,Two X,South Korea
Eun,Choi Eunmi,최은미,Two X,South Korea
Surin,Kim Surin,김수린,Two X,South Korea
Eunyoung,Joo Eunyoung,주은영,Two X,South Korea
Nari,Kim Nari,김나리,Wassup,South Korea
Jiae,Kim Jiae,김지애,Wassup,South Korea
Sujin,Bang Sujin,방수진,Wassup,South Korea
Woojoo,Kim Woojoo,김우주,Wassup,South Korea
Jinju,Park Jinju,박진주,,South Korea
Dain,Song Jieun,송지은,,South Korea
Nada,Yoon Yejin,윤예진,,South Korea
Jueun,Lee Jooeun,이주은,DIA,South Korea
Somyi,Ahn Somyi,안솜이,DIA,South Korea
Daisy,Yoo Jeongahn,유정안,,South Korea
Taeha,Kim Taeha,김태하,,South Korea
Suyeon,Ji Suyeon,지수연,Weki Meki,South Korea
Elly,Jung Haerim,정해림,Weki Meki,South Korea
Sei,Lee Seojung,이서정,Weki Meki,South Korea
Lua,Kim Sookyung,김수경,Weki Meki,South Korea
Rina,Kang Soeun,강소은,Weki Meki,South Korea
Lucy,Noh Hyojung,노효정,Weki Meki,South Korea
Kim Lip,Kim Jungeun,김정은,ARTMS,South Korea
JinSoul,Jung Jinsol,정진솔,ARTMS,South Korea
Choerry,Choi Yerim,최예림,ARTMS,South Korea
"Do-A
",Choi Yuna,최윤아,ALICE,South Korea
Yeonje,Yang Yeonje,양연제,ALICE,South Korea
Yukyung,Lee Yukyung,이유경,ALICE,South Korea
Sohee,Kim Sohee,김소희,ALICE,South Korea
Karin,Min Karin,민가린,ALICE,South Korea
Rui,Watanabe Rui,와타나베 루이,H.U.B,Japan
Gracie,Kim Gaeun,김가운,H.U.B,South Korea
Yuem,Park Subin,박수빈,H.U.B,South Korea
Hyosun,Lim Hyosun,임효선,H.U.B,South Korea
Keina,Lee Yoona,이유나,H.U.B,South Korea
Hyunseo,Go Hyunseo,고현서,,South Korea
Shinyoung,Park Shinyoung,박신영,G-reyish,South Korea
Yena,Jeong Yena,정예나,G-reyish,South Korea
Yeso,Lee Yeso,이예소,G-reyish,South Korea
Haeri,Jung Haeri,정해리,P.O.P,South Korea
Ahyung,Kang Ahyoung,강아형,P.O.P,South Korea
Miso,Park Jihyun,박지현,P.O.P,South Korea
Seol,Min Jihye,민지혜,P.O.P,South Korea
Yeonjoo,Song Yeonjoo,정연주,P.O.P,South Korea
Yeonha,Ahn Yeonji,안연지,P.O.P,South Korea
Heejin,Song Heejin,송희진,Good Day,South Korea
I.L,Kim Jiwon,김지원,IRRIS,South Korea
Liv,Kim Chaeyoung,김채영,IRRIS,South Korea
Chaesol,Maeng Chaesol,맹채솔,Cignature,South Korea
Yunseul,Hwang Nayoon,황나윤,IRRIS,South Korea
Jeewon,Kim Jiwon,김지원,Cignature,South Korea
Yeah,Kim Haeun,김하은,,South Korea
Sunn,Hwang Jiwon,황지원,,South Korea
Bomin,Kim Bomin,김보민,RedSquare,South Korea
Belle,Jin Hyeonjoo,진현주,Cignature,South Korea
Jiyoung,Ahn Jiyoung,안지영,Bolbbalgan4,South Korea
Jiyoon,Woo Jiyoon,우지윤,Bolbbalgan4,South Korea
Dayeon,Hwang Da Kyeon,황연경,XUM,South Korea
Hajeong,Lee Hajeong,이하정,,South Korea
Baekah,Kim Sua,김수아,XUM,South Korea
Arang,Son Mnjung,손민정,,South Korea
Iaan,Yoo Dongju,유동주,XUM,South Korea
Eunjin,Ma Eunjin,마은진,Playback,South Korea
Yves,Ha Sooyoung,하수영,,South Korea
Haeyeon,Lee Taeyeon,이태연,Gate9,South Korea
Yeori,Kim Soyeon,김소연,Gate9,South Korea
