Stage_Name, Full_Name, Korean_Name, Group, Country
Wonjun,Jeong Wonjun,정원준,ABLUE,South Korea
Seongsoo,Park Seongsoo,박성수,ABLUE,South Korea
You,Kim Taeyou,김태유,ABLUE,South Korea
On,Kim Dongwoo,김동우,ABLUE,South Korea
Sukjun,Lee Sukjun,이석준,ABLUE,South Korea
Doryun,Kim Doryun,킴도륜,AIMERS,South Korea
Yoel,Kim Yoel,킴요엘,AIMERS,South Korea
Seunghwan,Park Seunghwan,박승환,AIMERS,South Korea
Wooyoung,Hwang Wooyoung,황우영,AIMERS,South Korea
Junseok,Oh Junseok,오준석,ATBO,South Korea
Junmin,Ryu Junmin,류준민,ATBO,South Korea
Hyunjun,Bae Hyunjun,배현준,ATBO,South Korea
Rakwon,Seok Rakwon,석락원,ATBO,South Korea
Seunghwan,Jeong Seunghwan,정승환,ATBO,South Korea
Yeonkyu,Kim Yeonkyu,김연규,ATBO,South Korea
Won Bin,Won Bin,원빈,ATBO,South Korea
Ryujei,Chae Hocheol,채호철,JWiiver,South Korea
Rihan,Choi Yeonsik,최연식,JWiiver,South Korea
Shita,Chae Gaho,채가호,JWiiver,Macau
Raots,Ren Yuchen,런위천,JWiiver,China
Roshin,Bae Sijun,배시준,JWiiver,South Korea
Gabin,Yoo Seunghyun,유승현,JWiiver,South Korea
Jukang,Lee Hyowon,이효원,JWiiver,South Korea
Kyungjun,Woo Kyungjun,우경준,TNX,South Korea
Taehun,Choi Taehun,최태훈,TNX,South Korea
Hyunsoo,Jang Hyunsoo,장현수,TNX,South Korea
Hwi,Eun Hwi,은휘,TNX,South Korea
Sungjun,Oh Sungjun,오성준,TNX,South Korea
Junhyeok,Cheon Junhyeok,천준혁,TNX,South Korea
Doha,Park Doha,박도하,XEED,South Korea
Bao,Bae Sungyeob,배성엽,XEED,South Korea
Jaemin,Shin Jaemin,신재민,XEED,South Korea
Roni,Jeong Rowoon,정로운,,South Korea
Minjae,Kim Minjae,김민재,xikers,South Korea
Junmin,Park Junmin,박준민,xikers,South Korea
Sumin,Choi Sumin,최수민,xikers,South Korea
